plz	from	to	area_sq_km	fromPerSqKm	toPerSqKm
10115	104	109	2.29795401690679	45.2576506034665	47.4334991901716
10117	208	214	3.42743884956882	60.6867136451368	62.4372919233619
10119	71	83	0.971578038934972	73.0769914044466	85.4280322051981
10178	96	97	1.85130966681466	51.8551821560876	52.3953403035469
10179	166	176	2.19082263888523	75.7706247204324	80.3351201855187
10243	269	268	2.84183123933289	94.6572746040849	94.3053888248876
10245	207	209	3.39233924337563	61.0198406318643	61.6094043094669
10247	130	122	1.78908119965585	72.6629959696668	68.1914269869181
10249	225	234	2.27023744934601	99.1085756535362	103.072918679678
10315	154	154	3.4315404494875	44.87780408446	44.87780408446
10317	210	211	4.18728605427338	50.1518160636965	50.3906342354284
10318	210	214	6.67215146020024	31.4741056543248	32.0736124286929
10319	108	113	3.43666452454908	31.4258197820954	32.8807188460813
10365	136	145	4.99803306500822	27.2107043373024	29.0114127125651
10367	78	70	1.71429996462353	45.4996217754279	40.8329939010251
10369	108	110	1.54666334899144	69.8277359907865	71.120842212838
10405	124	127	1.88066546961956	65.934107901223	67.5292879310913
10407	195	178	2.78947974536235	69.9055084820735	63.811182101585
10409	120	115	1.72749395451182	69.4647872350509	66.5704211002571
10435	89	88	0.860875210001983	103.383160492907	102.221551948043
10437	110	115	1.46900629094118	74.880550667706	78.2842120616926
10439	110	105	1.68108502204925	65.4339302041425	62.4596606494087
10551	72	64	1.0103196098401	71.2645773661616	63.3462909921437
10553	90	89	1.60197485925026	56.1806569437183	55.5564274221214
10555	111	100	0.959350746993116	115.703250711907	104.23716280352
10557	260	287	3.78063751089145	68.7714702218817	75.9131228987694
10559	166	175	1.21729775968561	136.367621380386	143.76104663595
10585	59	68	0.770256762083907	76.5978345199817	88.2822499552332
10587	159	158	1.46068130995533	108.853313119247	108.168701087051
10589	77	79	1.8118494287026	42.4980126826196	43.6018571678824
10623	59	55	1.15830336365408	50.9365696857459	47.4832429273903
10625	45	41	0.623964617670395	72.1194739663443	65.7088540582248
10627	64	64	0.718531419381133	89.0705657034773	89.0705657034773
10629	55	57	0.638864769726637	86.0902065761646	89.2207595425706
10707	79	81	0.842149665162347	93.8075537734384	96.1824285525128
10709	41	45	0.982539589472845	41.7285984598315	45.7996812364004
10711	36	33	1.04177423750946	34.5564314261257	31.6767288072819
10713	78	84	1.28412944994086	60.741539728407	65.4139658613614
10715	90	87	1.1724742109861	76.7607501782971	74.2020585056872
10717	81	86	0.825774628112655	98.0897175118218	104.144638345885
10719	68	70	0.872389520178864	77.9468327245129	80.239386628175
10777	47	42	0.685408629201654	68.5722326763588	61.2773143065334
10779	69	66	0.513894510846264	134.268801366205	128.431027393761
10781	59	54	0.709400432508997	83.1688243991192	76.1206189415667
10783	24	28	0.633385568326776	37.8916116819667	44.2068802956278
10785	177	173	3.04177796660364	58.1896515601475	56.8746311859069
10787	89	84	1.4335416683033	62.0839993478097	58.5961342159103
10789	30	35	0.44416606137301	67.5423059277959	78.7993569157618
10823	30	27	0.500894135046363	59.8928953265208	53.9036057938687
10825	42	41	0.688587453190873	60.9944311436035	59.5421827830415
10827	27	27	0.868421788074727	31.0908827608511	31.0908827608511
10829	72	71	2.62922582868585	27.3844868000507	27.0041467056055
10961	71	67	1.42292559308153	49.8971979597614	47.0860882155495
10963	63	69	1.46963385591367	42.8678202713511	46.9504698210036
10965	112	122	3.17773465462336	35.2452335304487	38.3921293813816
10967	82	83	1.17747558138544	69.6405099998059	70.4897845119986
10969	121	120	1.96386373370108	61.6132361546107	61.1040358558123
10997	157	164	1.57266726789707	99.8303984605313	104.281435334568
10999	153	147	1.40986342896337	108.521149536091	104.265418181735
12043	80	78	0.717920199560503	111.432997774648	108.647172830281
12045	89	92	0.670654949116159	132.706095910112	137.179335098093
12047	40	37	0.517724577156236	77.2611573120837	71.4665705136775
12049	139	127	1.09650651760219	126.766232364913	115.822384966503
12051	133	129	1.50804335512694	88.1937508943863	85.5413072584649
12053	140	146	0.847198724058532	165.250484950362	172.332648591091
12055	47	52	0.87411727888513	53.7685287035452	59.4885849486032
12057	203	216	3.15696983857724	64.3021664380191	68.420039165577
12059	289	286	1.21332691050589	238.188074044697	235.715533483679
12099	115	106	6.30964611029173	18.2260618091437	16.7996743632107
12101	33	33	2.28103132339589	14.4671402192195	14.4671402192195
12103	39	36	2.18877772746193	17.8181637681519	16.4475357859864
12105	104	103	3.35366995184807	31.0108035355983	30.7126227323714
12107	185	181	4.40590145620504	41.9891370333432	41.0812638001899
12109	87	91	2.95858966888936	29.4059027227859	30.7578982502703
12157	85	84	2.04311399798243	41.6031607066161	41.1137117571265
12159	28	33	0.9944551935016	28.156120238468	33.1839988524801
12161	33	31	0.961562703649938	34.3191347529779	32.2391871921914
12163	95	106	1.33762531721721	71.02138302648	79.2449115874408
12165	47	58	0.941739753616005	49.9076308709851	61.5881402237688
12167	103	104	1.63626177966603	62.9483627131001	63.5595118656544
12169	106	111	2.11873134379089	50.0299390532177	52.3898418387468
12203	111	96	3.06075091464879	36.2656103339715	31.3648521807321
12205	75	81	3.01991239494314	24.8351575117172	26.8219701126546
12207	193	183	5.57167910769473	34.6394679717751	32.8446768851546
12209	104	117	3.05713259792445	34.0188057497434	38.2711564684613
12247	210	221	3.44214247143877	61.0085148254258	64.204198935329
12249	172	169	3.85699517611371	44.5943000046234	43.8164924464033
12277	192	190	6.70085128438132	28.6530758334427	28.354606293511
12279	41	41	1.71751966293554	23.8716335450413	23.8716335450413
12305	131	121	3.99897644195345	32.7583825265068	30.2577426389872
12307	80	82	4.11395008433288	19.4460307879435	19.9321815576421
12309	97	109	2.91340757899878	33.294346008853	37.4132341748966
12347	163	188	3.97166444036333	41.0407279989366	47.3353181828225
12349	220	211	6.4746258398502	33.9787974535823	32.5887557395721
12351	234	230	3.33463905619896	70.1725122438674	68.9729821200406
12353	128	131	2.72150189824306	47.0328534705907	48.1351859738076
12355	232	225	7.99005406532318	29.0360988928573	28.1600097021245
12357	118	113	3.78106471410751	31.2081408074638	29.8857619596899
12359	214	204	4.75519754348291	45.0033879861187	42.9004259306926
12435	247	254	4.06555722527334	60.7542795030743	62.4760607035663
12437	147	140	5.98165092499789	24.5751552277437	23.4049097407083
12439	92	96	2.80857294098149	32.7568490949889	34.1810599252058
12459	108	113	8.17072906404513	13.2179147238217	13.8298552202949
12487	125	134	7.29530349542463	17.1343111466707	18.367981549231
12489	114	106	6.05217359193137	18.8362078959504	17.5143687453574
12524	126	134	7.99254788547307	15.7646850297904	16.7656174126342
12526	40	49	6.39511229097358	6.25477680141102	7.6621015817285
12527	101	98	26.1152695219211	3.86746917986892	3.75259385769459
12555	193	193	9.99491759814505	19.3098140234612	19.3098140234612
12557	182	176	9.19347171210618	19.7966563339003	19.1440193119036
12559	133	127	36.327319282448	3.66115646921023	3.49599151571203
12587	98	92	15.5214439927094	6.31384554465627	5.92728357253446
12589	13	16	21.0782398418541	0.616749790188197	0.759076664847012
12619	199	189	2.59422550997982	76.7088286020086	72.8541135968825
12621	141	136	8.21636256195975	17.1608785440901	16.5523367517464
12623	148	152	13.3654599971827	11.0733188405934	11.372597728177
12627	194	181	3.94825094141235	49.1356813127494	45.8430841113796
12629	50	50	1.68344210551533	29.7010511001174	29.7010511001174
12679	108	97	2.79830858644306	38.5947427396774	34.6637967198954
12681	134	134	8.71735166743259	15.3716409652962	15.3716409652962
12683	219	237	12.6648668610157	17.2919306932562	18.7131852707841
12685	65	63	3.45872617913558	18.7930459462521	18.2147983786751
12687	49	45	1.42841060899223	34.3038617128239	31.5035464709608
12689	72	73	2.72924163097525	26.3809547615144	26.7473569109799
13051	160	162	8.08994367684313	19.7776407835803	20.024861293375
13053	216	210	6.50753900285171	33.1922712880162	32.2702637522379
13055	145	144	3.16969677893606	45.7457006498491	45.4302130591605
13057	126	117	4.95291003548016	25.4395898769409	23.6224763143022
13059	126	146	6.35466626674196	19.8279492126028	22.9752427384128
13086	239	238	3.1890072559961	74.9449533395143	74.6313761288887
13088	249	249	6.77706263613662	36.7415816215544	36.7415816215544
13089	56	49	3.83053950035658	14.6193506149165	12.7919317880519
13125	139	140	22.3040301834222	6.23205756344939	6.27689250994902
13127	99	101	14.9514970711072	6.62141052024221	6.75517638933801
13129	58	61	6.69679235361241	8.66086283363906	9.10883849744798
13156	155	145	5.8506816066279	26.4926397335328	24.7834371700791
13158	163	170	6.8576796130481	23.7689727717609	24.789726203677
13159	32	34	12.5215672985193	2.55559062512758	2.71531503919805
13187	71	73	3.30319390326325	21.4943482215375	22.0998228193273
13189	69	67	2.50456116171452	27.5497364786913	26.7511933923524
13347	77	75	1.62744262906316	47.3134958031209	46.0845738342087
13349	39	33	1.47618856746555	26.4193889991701	22.3548676146824
13351	45	43	2.61210779295863	17.2274666923413	16.461801506015
13353	166	174	3.00540975632986	55.2337329877824	57.8955996377961
13355	134	134	1.72355642196824	77.7462218770749	77.7462218770749
13357	85	79	1.97923713166751	42.945839404492	39.9143683877043
13359	54	50	1.70110670529583	31.7440404131552	29.3926300121807
13403	141	146	3.48652014168453	40.4414700819354	41.875564765692
13405	65	64	8.51985497731935	7.62923784184544	7.5118649519709
13407	133	143	4.45467254760389	29.8562910244747	32.1011249360893
13409	187	180	2.49185922349515	75.0443677703867	72.2352203137412
13435	83	84	2.09496011934666	39.6188926144736	40.0962286700697
13437	82	89	4.34449848679934	18.874445519812	20.4856786739423
13439	115	115	2.01273773054862	57.1361078269516	57.1361078269516
13465	32	34	7.95590450944507	4.02216994460031	4.27355556613782
13467	45	41	5.71805058563155	7.86981495285772	7.17027584593704
13469	163	157	7.71607759264578	21.1247227678679	20.3471256107685
13503	37	35	16.7228857557248	2.21253679182336	2.09294020848156
13505	45	54	10.3849966294637	4.33317425181717	5.1998091021806
13507	106	105	8.60109803613239	12.3240078830289	12.2077436577173
13509	100	93	4.49790515682988	22.2325719447762	20.6762919086418
13581	95	92	3.91459749904185	24.2681399615803	23.5017776470041
13583	135	135	2.34863131214719	57.4802861997863	57.4802861997863
13585	166	140	2.6692941749141	62.1887244800741	52.4483218506649
13587	125	117	17.6818586480409	7.06939256150254	6.61695143756638
13589	182	183	6.6910464335062	27.2005286181566	27.3499820721025
13591	444	429	8.8650915071172	50.0840853863202	48.3920554746202
13593	104	100	4.52623769076904	22.9771406420173	22.0934044634782
13595	133	117	5.29077422495961	25.1380978180023	22.1139657496712
13597	105	118	5.76823871372717	18.2031301426764	20.456851017484
13599	108	116	6.95686526257437	15.5242333901454	16.6741766042303
13627	97	115	4.95438656084298	19.5786095430341	23.2117535819476
13629	74	80	5.86997223687939	12.6065332191997	13.628684561297
14050	99	99	2.52818936246146	39.1584592000708	39.1584592000708
14052	108	106	2.17048977688085	49.7583546121114	48.836903600776
14053	37	42	1.59015631976012	23.268152659093	26.4124976130245
14055	268	280	7.87358585877627	34.037858328715	35.5619415374634
14057	80	70	1.07489692429742	74.425740916777	65.1225233021799
14059	144	138	2.83053227515194	50.8738237200529	48.7540810650507
14089	90	80	24.7928888087844	3.63007315097997	3.22673168975997
14109	16	22	25.1290279114583	0.636713845691751	0.875481537826158
14129	46	43	20.3959819374538	2.25534618245217	2.10825838794442
14163	119	120	6.03481357830832	19.7189189783321	19.8846241798307
14165	100	90	3.36167011659978	29.7471187033505	26.7724068330155
14167	86	79	5.75723957305526	14.9377143175512	13.7218538498435
14169	125	114	5.0823418553069	24.5949610551044	22.4306044822552
14193	242	231	20.6249205300068	11.7333785431037	11.2000431547808
14195	170	170	8.07221739264391	21.0598887184231	21.0598887184231
14197	131	131	1.57954975316523	82.9350260968302	82.9350260968302
14199	173	187	2.40328739242012	71.9847324733761	77.8100865463661
